seller_id,category_eng,month,sales_count,avg_price,avg_review_score,avg_shipping_hours,avg_lead_time,top_selling_sku,seller_total_sales,seller_avg_shipping_hours,months_active,category_count,seller_monthly_avg_orders,top_state,cat_total_sales,cat_share,tier,tier_above_avg_shipping_hours,mean,std,z_score,moving_avg_30d,risk_level,safety_stock,restock_recommendation
1f50f920176fa81dab994f9023523100,garden_tools,2017-11-24,91,49.0,3.8351648351648353,79.33105921855922,18.736263736263737,422879e10f46682990de24d770e7f83d,1940,81.3698025937428,388,3,5.0,SP,1891.0,0.9747422680412371,Tier 1 (Top 1%),,4.950261780104712,6.462907484997583,13.314400433495834,8.833333333333334,High,20.0,82.0
d2374cbcbb3ca4ab1086534108cc3ab7,bed_bath_table,2017-10-17,22,64.25181818181818,1.1818181818181819,70.24896464646464,6.454545454545454,99444c1e11fc38755dae86f5c67d3d1a,657,100.45635017866259,313,4,2.099041533546326,SP,622.0,0.9467275494672754,Tier 2 (Top 2-20%),71.39965551650388,2.080267558528428,1.7590357129920933,11.324234234897032,2.8,High,6.0,26.0
4a3ca9315b744ce9f8e9374361493884,bed_bath_table,2017-11-24,29,117.18103448275862,2.392857142857143,110.31073754789271,21.689655172413794,99a4788cb24856965c36a24e339b6058,2009,57.161982931726904,537,7,3.741154562383613,SP,1591.0,0.7919362867098059,Tier 1 (Top 1%),,3.107421875,2.3446202722168916,11.043399407494665,4.4,High,6.0,37.0
8160255418d5aaa7dbdc9f4c64ebda44,bed_bath_table,2017-11-24,36,107.125,2.75,252.8413657407407,26.75,9ad75bd7267e5c724cb42c71ac56ca72,434,95.83475638051044,195,4,2.2256410256410257,SP,428.0,0.9861751152073732,Tier 2 (Top 2-20%),71.39965551650388,2.2061855670103094,3.0756882016181324,10.987399312846675,3.2,High,11.0,34.0
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2017-11-24,51,72.40392156862745,3.588235294117647,253.3452614379085,18.215686274509803,9ecadb84c81da840dbf3564378b586e9,1443,91.66556944444444,308,4,4.685064935064935,SP,1306.0,0.9050589050589051,Tier 1 (Top 1%),,4.442176870748299,4.245261163230901,10.96701035321426,5.033333333333333,High,14.0,50.0
cc419e0650a3c5ba77189a1882b7556a,perfumery,2017-11-24,20,57.64,3.55,72.2745,11.3,2028bf1b01cafb2d2b1901fca4083222,1819,57.875281642243245,483,4,3.7660455486542443,SP,666.0,0.36613523914238594,Tier 1 (Top 1%),,2.042944785276074,1.6486813126823834,10.89176851620161,2.6,High,5.0,24.0
da8622b14eb17ae2831f4ac5b9dab84a,bed_bath_table,2017-11-24,26,97.01538461538462,4.038461538461538,96.05603632478633,12.307692307692308,283dc451ad3918badb976d56ff887289,1574,56.5578061848256,438,4,3.593607305936073,SP,1300.0,0.8259212198221093,Tier 1 (Top 1%),,3.1026252983293556,2.3121207109987303,9.903191729025266,3.433333333333333,High,6.0,31.0
ea8482cd71df3c1969d7b9473ff13abc,telephony,2017-11-24,31,27.7,3.6129032258064515,98.61549283154122,18.0,036734b5a58d5d4f46b0616ddc047ced,1204,71.3691171056358,322,2,3.739130434782609,SP,1179.0,0.979235880398671,Tier 2 (Top 2-20%),71.39965551650388,3.742857142857143,2.7739526792625706,9.826102319953385,3.966666666666667,High,8.0,36.0
d1c281d3ae149232351cd8c8cc885f0d,bed_bath_table,2017-06-15,13,45.22076923076923,4.6923076923076925,111.39594017094016,10.76923076923077,315c6373ff469f7b7f60bbb36c319f7b,249,43.45141577060932,165,2,1.509090909090909,SP,243.0,0.9759036144578314,Tier 2 (Top 2-20%),71.39965551650388,1.5093167701863355,1.1995729053623643,9.578978633518389,2.033333333333333,High,3.0,18.0
7d76b645482be4a332374e8223836592,telephony,2017-11-24,11,18.113636363636363,3.5454545454545454,103.51436868686869,17.0,2f4b132305af5173ac8923892200f597,187,82.10054510155317,131,2,1.4274809160305344,SP,184.0,0.983957219251337,Tier 3 (Middle 21-95%),69.56156753830703,1.4045801526717556,1.0508503952235608,9.13109981301086,1.8,High,4.0,17.0
